timestamp,model,concept_samples,seed,no_concepts,lr,7pt_train_acc,7pt_test_acc
2025-03-30 01:12:47.249211,resnet152,50,2,12,0.01,0.79,0.71
2025-03-30 01:12:47.249211,resnet152,50,2,12,0.01,0.8,0.61
2025-03-30 01:12:47.249211,resnet152,50,2,12,0.01,0.78,0.64
2025-03-30 01:12:47.249211,resnet152,50,2,12,0.01,0.86,0.66
2025-03-30 01:12:47.249211,resnet152,50,2,12,0.01,0.77,0.69
2025-03-30 01:12:47.249211,resnet152,50,2,12,0.01,0.81,0.61
2025-03-30 01:12:47.249211,resnet152,50,2,12,0.01,0.81,0.67
2025-03-30 01:12:47.249211,resnet152,50,2,12,0.01,0.77,0.7
2025-03-30 01:21:29.560591,resnext50,50,10,12,0.01,0.81,0.69
2025-03-30 01:21:29.560591,resnext50,50,10,12,0.01,0.74,0.66
2025-03-30 01:21:29.560591,resnext50,50,10,12,0.01,0.77,0.72
2025-03-30 01:21:29.560591,resnext50,50,10,12,0.01,0.85,0.58
2025-03-30 01:21:29.560591,resnext50,50,10,12,0.01,0.77,0.69
2025-03-30 01:21:29.560591,resnext50,50,10,12,0.01,0.72,0.64
2025-03-30 01:21:29.560591,resnext50,50,10,12,0.01,0.77,0.63
2025-03-30 01:21:29.560591,resnext50,50,10,12,0.01,0.7,0.73
2025-03-30 01:21:29.560591,resnext50,50,10,12,0.01,0.77,0.71
2025-03-30 01:21:29.560591,resnext50,50,10,12,0.01,0.77,0.61
2025-03-30 01:21:29.560591,resnext50,50,10,12,0.01,0.73,0.57
2025-03-30 01:21:29.560591,resnext50,50,10,12,0.01,0.71,0.68
2025-03-30 01:26:22.421081,resnext50,50,42,12,0.01,0.73,0.66
2025-03-30 01:26:22.421081,resnext50,50,42,12,0.01,0.77,0.65
2025-03-30 01:26:22.421081,resnext50,50,42,12,0.01,0.79,0.8
2025-03-30 01:26:22.421081,resnext50,50,42,12,0.01,0.8,0.77
2025-03-30 01:26:22.421081,resnext50,50,42,12,0.01,0.85,0.81
2025-03-30 01:26:22.421081,resnext50,50,42,12,0.01,0.67,0.65
2025-03-30 01:26:22.421081,resnext50,50,42,12,0.01,0.66,0.68
2025-03-30 01:26:22.421081,resnext50,50,42,12,0.01,0.77,0.68
2025-03-30 01:26:22.421081,resnext50,50,42,12,0.01,0.83,0.78
2025-03-30 01:26:22.421081,resnext50,50,42,12,0.01,0.75,0.62
2025-03-30 01:26:22.421081,resnext50,50,42,12,0.01,0.74,0.73
2025-03-30 01:26:22.421081,resnext50,50,42,12,0.01,0.73,0.64
2025-03-30 01:35:07.557743,resnet50,50,10,12,0.01,0.87,0.7
2025-03-30 01:35:07.557743,resnet50,50,10,12,0.01,0.8,0.69
2025-03-30 01:35:07.557743,resnet50,50,10,12,0.01,0.85,0.79
2025-03-30 01:35:07.557743,resnet50,50,10,12,0.01,0.86,0.76
2025-03-30 01:35:07.557743,resnet50,50,10,12,0.01,0.85,0.73
2025-03-30 01:35:07.557743,resnet50,50,10,12,0.01,0.79,0.71
2025-03-30 01:35:07.557743,resnet50,50,10,12,0.01,0.79,0.67
2025-03-30 01:35:07.557743,resnet50,50,10,12,0.01,0.78,0.78
2025-03-30 01:35:07.557743,resnet50,50,10,12,0.01,0.8,0.79
2025-03-30 01:35:07.557743,resnet50,50,10,12,0.01,0.78,0.59
2025-03-30 01:35:07.557743,resnet50,50,10,12,0.01,0.81,0.62
2025-03-30 01:35:07.557743,resnet50,50,10,12,0.01,0.72,0.62
2025-03-30 01:48:49.420551,resnext50,50,100,12,0.01,0.72,0.66
2025-03-30 01:48:49.420551,resnext50,50,100,12,0.01,0.79,0.74
2025-03-30 01:48:49.420551,resnext50,50,100,12,0.01,0.81,0.69
2025-03-30 01:48:49.420551,resnext50,50,100,12,0.01,0.79,0.71
2025-03-30 01:48:49.420551,resnext50,50,100,12,0.01,0.82,0.69
2025-03-30 01:48:49.420551,resnext50,50,100,12,0.01,0.71,0.59
2025-03-30 01:48:49.420551,resnext50,50,100,12,0.01,0.74,0.64
2025-03-30 01:48:49.420551,resnext50,50,100,12,0.01,0.74,0.66
2025-03-30 01:48:49.420551,resnext50,50,100,12,0.01,0.76,0.7
2025-03-30 01:48:49.420551,resnext50,50,100,12,0.01,0.73,0.59
2025-03-30 01:48:49.420551,resnext50,50,100,12,0.01,0.68,0.67
2025-03-30 01:48:49.420551,resnext50,50,100,12,0.01,0.69,0.6
2025-03-30 01:49:03.919635,resnet50,50,42,12,0.01,0.8,0.74
2025-03-30 01:49:03.919635,resnet50,50,42,12,0.01,0.82,0.73
2025-03-30 01:49:03.919635,resnet50,50,42,12,0.01,0.8,0.8
2025-03-30 01:49:03.919635,resnet50,50,42,12,0.01,0.77,0.68
2025-03-30 01:49:03.919635,resnet50,50,42,12,0.01,0.84,0.74
2025-03-30 01:49:03.919635,resnet50,50,42,12,0.01,0.79,0.63
2025-03-30 01:49:03.919635,resnet50,50,42,12,0.01,0.78,0.65
2025-03-30 01:49:03.919635,resnet50,50,42,12,0.01,0.8,0.64
2025-03-30 01:49:03.919635,resnet50,50,42,12,0.01,0.78,0.71
2025-03-30 01:49:03.919635,resnet50,50,42,12,0.01,0.78,0.68
2025-03-30 01:49:03.919635,resnet50,50,42,12,0.01,0.74,0.74
2025-03-30 01:49:03.919635,resnet50,50,42,12,0.01,0.79,0.59
2025-03-30 01:52:32.581551,resnet152,50,10,12,0.01,0.87,0.69
2025-03-30 01:52:32.581551,resnet152,50,10,12,0.01,0.79,0.66
2025-03-30 01:52:32.581551,resnet152,50,10,12,0.01,0.82,0.74
2025-03-30 01:52:32.581551,resnet152,50,10,12,0.01,0.89,0.78
2025-03-30 01:52:32.581551,resnet152,50,10,12,0.01,0.81,0.75
2025-03-30 01:52:32.581551,resnet152,50,10,12,0.01,0.81,0.74
2025-03-30 01:52:32.581551,resnet152,50,10,12,0.01,0.83,0.64
2025-03-30 01:52:32.581551,resnet152,50,10,12,0.01,0.7,0.73
2025-03-30 01:52:32.581551,resnet152,50,10,12,0.01,0.81,0.77
2025-03-30 01:52:32.581551,resnet152,50,10,12,0.01,0.8,0.63
2025-03-30 01:52:32.581551,resnet152,50,10,12,0.01,0.85,0.6
2025-03-30 01:52:32.581551,resnet152,50,10,12,0.01,0.77,0.64
2025-03-30 01:56:01.893289,resnext50,50,149,12,0.01,0.77,0.62
2025-03-30 01:56:01.893289,resnext50,50,149,12,0.01,0.79,0.67
2025-03-30 01:56:01.893289,resnext50,50,149,12,0.01,0.89,0.84
2025-03-30 01:56:01.893289,resnext50,50,149,12,0.01,0.78,0.82
2025-03-30 01:56:01.893289,resnext50,50,149,12,0.01,0.74,0.63
2025-03-30 01:56:01.893289,resnext50,50,149,12,0.01,0.73,0.71
2025-03-30 01:56:01.893289,resnext50,50,149,12,0.01,0.78,0.67
2025-03-30 01:56:01.893289,resnext50,50,149,12,0.01,0.76,0.65
2025-03-30 01:56:01.893289,resnext50,50,149,12,0.01,0.82,0.74
2025-03-30 01:56:01.893289,resnext50,50,149,12,0.01,0.81,0.63
2025-03-30 01:56:01.893289,resnext50,50,149,12,0.01,0.79,0.67
2025-03-30 01:56:01.893289,resnext50,50,149,12,0.01,0.72,0.61
2025-03-30 02:03:32.384866,resnet50,50,100,12,0.01,0.86,0.67
2025-03-30 02:03:32.384866,resnet50,50,100,12,0.01,0.83,0.72
2025-03-30 02:03:32.384866,resnet50,50,100,12,0.01,0.83,0.67
2025-03-30 02:03:32.384866,resnet50,50,100,12,0.01,0.85,0.74
2025-03-30 02:03:32.384866,resnet50,50,100,12,0.01,0.78,0.76
2025-03-30 02:03:32.384866,resnet50,50,100,12,0.01,0.69,0.58
2025-03-30 02:03:32.384866,resnet50,50,100,12,0.01,0.75,0.73
2025-03-30 02:03:32.384866,resnet50,50,100,12,0.01,0.83,0.65
2025-03-30 02:03:32.384866,resnet50,50,100,12,0.01,0.81,0.7
2025-03-30 02:03:32.384866,resnet50,50,100,12,0.01,0.81,0.68
2025-03-30 02:03:32.384866,resnet50,50,100,12,0.01,0.75,0.69
2025-03-30 02:03:32.384866,resnet50,50,100,12,0.01,0.74,0.58
2025-03-30 02:09:53.926479,resnet50,50,149,12,0.01,0.79,0.63
2025-03-30 02:09:53.926479,resnet50,50,149,12,0.01,0.77,0.67
2025-03-30 02:09:53.926479,resnet50,50,149,12,0.01,0.89,0.74
2025-03-30 02:09:53.926479,resnet50,50,149,12,0.01,0.81,0.8
2025-03-30 02:09:53.926479,resnet50,50,149,12,0.01,0.74,0.62
2025-03-30 02:09:53.926479,resnet50,50,149,12,0.01,0.82,0.76
2025-03-30 02:09:53.926479,resnet50,50,149,12,0.01,0.81,0.65
2025-03-30 02:09:53.926479,resnet50,50,149,12,0.01,0.77,0.71
2025-03-30 02:09:53.926479,resnet50,50,149,12,0.01,0.85,0.71
2025-03-30 02:09:53.926479,resnet50,50,149,12,0.01,0.75,0.63
2025-03-30 02:09:53.926479,resnet50,50,149,12,0.01,0.78,0.63
2025-03-30 02:09:53.926479,resnet50,50,149,12,0.01,0.75,0.59
2025-03-30 02:21:46.684132,resnet152,50,42,12,0.01,0.76,0.7
2025-03-30 02:21:46.684132,resnet152,50,42,12,0.01,0.86,0.68
2025-03-30 02:21:46.684132,resnet152,50,42,12,0.01,0.82,0.78
2025-03-30 02:21:46.684132,resnet152,50,42,12,0.01,0.83,0.69
2025-03-30 02:21:46.684132,resnet152,50,42,12,0.01,0.83,0.75
2025-03-30 02:21:46.684132,resnet152,50,42,12,0.01,0.82,0.62
2025-03-30 02:21:46.684132,resnet152,50,42,12,0.01,0.8,0.72
2025-03-30 02:21:46.684132,resnet152,50,42,12,0.01,0.75,0.64
2025-03-30 02:21:46.684132,resnet152,50,42,12,0.01,0.77,0.7
2025-03-30 02:21:46.684132,resnet152,50,42,12,0.01,0.85,0.64
2025-03-30 02:21:46.684132,resnet152,50,42,12,0.01,0.74,0.69
2025-03-30 02:21:46.684132,resnet152,50,42,12,0.01,0.8,0.64
2025-03-30 02:24:56.818416,resnet152,50,149,12,0.01,0.81,0.7
2025-03-30 02:24:56.818416,resnet152,50,149,12,0.01,0.75,0.61
2025-03-30 02:24:56.818416,resnet152,50,149,12,0.01,0.87,0.78
2025-03-30 02:24:56.818416,resnet152,50,149,12,0.01,0.84,0.73
2025-03-30 02:24:56.818416,resnet152,50,149,12,0.01,0.81,0.7
2025-03-30 02:24:56.818416,resnet152,50,149,12,0.01,0.86,0.64
2025-03-30 02:24:56.818416,resnet152,50,149,12,0.01,0.77,0.67
2025-03-30 02:24:56.818416,resnet152,50,149,12,0.01,0.86,0.62
2025-03-30 02:24:56.818416,resnet152,50,149,12,0.01,0.83,0.73
2025-03-30 02:24:56.818416,resnet152,50,149,12,0.01,0.85,0.69
2025-03-30 02:24:56.818416,resnet152,50,149,12,0.01,0.76,0.6
2025-03-30 02:24:56.818416,resnet152,50,149,12,0.01,0.77,0.6
2025-03-30 02:29:05.984578,resnext50,50,289,12,0.01,0.76,0.72
2025-03-30 02:29:05.984578,resnext50,50,289,12,0.01,0.68,0.61
2025-03-30 02:29:05.984578,resnext50,50,289,12,0.01,0.75,0.63
2025-03-30 02:29:05.984578,resnext50,50,289,12,0.01,0.78,0.68
2025-03-30 02:29:05.984578,resnext50,50,289,12,0.01,0.84,0.68
2025-03-30 02:29:05.984578,resnext50,50,289,12,0.01,0.74,0.63
2025-03-30 02:29:05.984578,resnext50,50,289,12,0.01,0.74,0.57
2025-03-30 02:29:05.984578,resnext50,50,289,12,0.01,0.76,0.65
2025-03-30 02:29:05.984578,resnext50,50,289,12,0.01,0.83,0.68
2025-03-30 02:29:05.984578,resnext50,50,289,12,0.01,0.74,0.55
2025-03-30 02:29:05.984578,resnext50,50,289,12,0.01,0.68,0.6
2025-03-30 02:29:05.984578,resnext50,50,289,12,0.01,0.78,0.68
2025-03-30 02:36:21.868418,resnet152,50,100,12,0.01,0.8,0.7
2025-03-30 02:36:21.868418,resnet152,50,100,12,0.01,0.88,0.79
2025-03-30 02:36:21.868418,resnet152,50,100,12,0.01,0.86,0.71
2025-03-30 02:36:21.868418,resnet152,50,100,12,0.01,0.84,0.71
2025-03-30 02:36:21.868418,resnet152,50,100,12,0.01,0.83,0.72
2025-03-30 02:36:21.868418,resnet152,50,100,12,0.01,0.72,0.63
2025-03-30 02:36:21.868418,resnet152,50,100,12,0.01,0.76,0.65
2025-03-30 02:36:21.868418,resnet152,50,100,12,0.01,0.76,0.71
2025-03-30 02:36:21.868418,resnet152,50,100,12,0.01,0.82,0.77
2025-03-30 02:36:21.868418,resnet152,50,100,12,0.01,0.79,0.7
2025-03-30 02:36:21.868418,resnet152,50,100,12,0.01,0.79,0.66
2025-03-30 02:36:21.868418,resnet152,50,100,12,0.01,0.74,0.67
2025-03-30 02:37:05.275302,resnet50,50,289,12,0.01,0.79,0.66
2025-03-30 02:37:05.275302,resnet50,50,289,12,0.01,0.81,0.68
2025-03-30 02:37:05.275302,resnet50,50,289,12,0.01,0.89,0.8
2025-03-30 02:37:05.275302,resnet50,50,289,12,0.01,0.8,0.66
2025-03-30 02:37:05.275302,resnet50,50,289,12,0.01,0.84,0.72
2025-03-30 02:37:05.275302,resnet50,50,289,12,0.01,0.83,0.57
2025-03-30 02:37:05.275302,resnet50,50,289,12,0.01,0.78,0.6
2025-03-30 02:37:05.275302,resnet50,50,289,12,0.01,0.77,0.62
2025-03-30 02:37:05.275302,resnet50,50,289,12,0.01,0.81,0.77
2025-03-30 02:37:05.275302,resnet50,50,289,12,0.01,0.84,0.65
2025-03-30 02:37:05.275302,resnet50,50,289,12,0.01,0.76,0.62
2025-03-30 02:37:05.275302,resnet50,50,289,12,0.01,0.77,0.71
2025-03-30 02:37:26.299114,resnext50,50,222,12,0.01,0.77,0.64
2025-03-30 02:37:26.299114,resnext50,50,222,12,0.01,0.69,0.75
2025-03-30 02:37:26.299114,resnext50,50,222,12,0.01,0.76,0.67
2025-03-30 02:37:26.299114,resnext50,50,222,12,0.01,0.73,0.64
2025-03-30 02:37:26.299114,resnext50,50,222,12,0.01,0.77,0.75
2025-03-30 02:37:26.299114,resnext50,50,222,12,0.01,0.73,0.64
2025-03-30 02:37:26.299114,resnext50,50,222,12,0.01,0.8,0.59
2025-03-30 02:37:26.299114,resnext50,50,222,12,0.01,0.73,0.69
2025-03-30 02:37:26.299114,resnext50,50,222,12,0.01,0.69,0.62
2025-03-30 02:37:26.299114,resnext50,50,222,12,0.01,0.68,0.58
2025-03-30 02:37:26.299114,resnext50,50,222,12,0.01,0.75,0.67
2025-03-30 02:37:26.299114,resnext50,50,222,12,0.01,0.73,0.61
2025-03-30 02:46:01.879244,resnext50,50,377,12,0.01,0.78,0.77
2025-03-30 02:46:01.879244,resnext50,50,377,12,0.01,0.76,0.68
2025-03-30 02:46:01.879244,resnext50,50,377,12,0.01,0.77,0.69
2025-03-30 02:46:01.879244,resnext50,50,377,12,0.01,0.82,0.71
2025-03-30 02:46:01.879244,resnext50,50,377,12,0.01,0.71,0.67
2025-03-30 02:46:01.879244,resnext50,50,377,12,0.01,0.69,0.61
2025-03-30 02:46:01.879244,resnext50,50,377,12,0.01,0.71,0.64
2025-03-30 02:46:01.879244,resnext50,50,377,12,0.01,0.68,0.72
2025-03-30 02:46:01.879244,resnext50,50,377,12,0.01,0.74,0.64
2025-03-30 02:46:01.879244,resnext50,50,377,12,0.01,0.7,0.59
2025-03-30 02:46:01.879244,resnext50,50,377,12,0.01,0.73,0.64
2025-03-30 02:46:01.879244,resnext50,50,377,12,0.01,0.69,0.66
2025-03-30 02:46:48.214843,resnet50,50,222,12,0.01,0.76,0.71
2025-03-30 02:46:48.214843,resnet50,50,222,12,0.01,0.73,0.67
2025-03-30 02:46:48.214843,resnet50,50,222,12,0.01,0.79,0.66
2025-03-30 02:46:48.214843,resnet50,50,222,12,0.01,0.78,0.62
2025-03-30 02:46:48.214843,resnet50,50,222,12,0.01,0.8,0.78
2025-03-30 02:46:48.214843,resnet50,50,222,12,0.01,0.73,0.56
2025-03-30 02:46:48.214843,resnet50,50,222,12,0.01,0.78,0.57
2025-03-30 02:46:48.214843,resnet50,50,222,12,0.01,0.76,0.62
2025-03-30 02:46:48.214843,resnet50,50,222,12,0.01,0.75,0.66
2025-03-30 02:46:48.214843,resnet50,50,222,12,0.01,0.72,0.61
2025-03-30 02:46:48.214843,resnet50,50,222,12,0.01,0.75,0.65
2025-03-30 02:46:48.214843,resnet50,50,222,12,0.01,0.73,0.6
2025-03-30 02:53:29.936520,resnet152,50,289,12,0.01,0.81,0.64
2025-03-30 02:53:29.936520,resnet152,50,289,12,0.01,0.75,0.67
2025-03-30 02:53:29.936520,resnet152,50,289,12,0.01,0.87,0.75
2025-03-30 02:53:29.936520,resnet152,50,289,12,0.01,0.82,0.72
2025-03-30 02:53:29.936520,resnet152,50,289,12,0.01,0.84,0.71
2025-03-30 02:53:29.936520,resnet152,50,289,12,0.01,0.79,0.55
2025-03-30 02:53:29.936520,resnet152,50,289,12,0.01,0.8,0.64
2025-03-30 02:53:29.936520,resnet152,50,289,12,0.01,0.8,0.65
2025-03-30 02:53:29.936520,resnet152,50,289,12,0.01,0.81,0.79
2025-03-30 02:53:29.936520,resnet152,50,289,12,0.01,0.82,0.62
2025-03-30 02:53:29.936520,resnet152,50,289,12,0.01,0.81,0.66
2025-03-30 02:53:29.936520,resnet152,50,289,12,0.01,0.81,0.69
2025-03-30 03:02:46.991988,resnet152,50,222,12,0.01,0.75,0.7
2025-03-30 03:02:46.991988,resnet152,50,222,12,0.01,0.86,0.7
2025-03-30 03:02:46.991988,resnet152,50,222,12,0.01,0.85,0.66
2025-03-30 03:02:46.991988,resnet152,50,222,12,0.01,0.83,0.69
2025-03-30 03:02:46.991988,resnet152,50,222,12,0.01,0.87,0.8
2025-03-30 03:02:46.991988,resnet152,50,222,12,0.01,0.74,0.67
2025-03-30 03:02:46.991988,resnet152,50,222,12,0.01,0.83,0.73
2025-03-30 03:02:46.991988,resnet152,50,222,12,0.01,0.82,0.65
2025-03-30 03:02:46.991988,resnet152,50,222,12,0.01,0.83,0.66
2025-03-30 03:02:46.991988,resnet152,50,222,12,0.01,0.83,0.56
2025-03-30 03:02:46.991988,resnet152,50,222,12,0.01,0.81,0.65
2025-03-30 03:02:46.991988,resnet152,50,222,12,0.01,0.76,0.65
2025-03-30 03:04:32.623680,resnet50,50,377,12,0.01,0.84,0.69
2025-03-30 03:04:32.623680,resnet50,50,377,12,0.01,0.75,0.67
